campaign_id,trial_id,budget_index,decision,proposal_id,patch_id,run_id,metric_id,decision_id,complete,completeness_pct
kdd_main_5trial,kdd_main_5trial-trial-001,1,failed_invalid,proposal-29b90a214db3b66f,patch-29b90a214db3b66f,run-29b90a214db3b66f,metric-29b90a214db3b66f,decision-29b90a214db3b66f,True,100.0
kdd_main_5trial,kdd_main_5trial-trial-002,2,kept,proposal-20bbdda789148f4c,patch-20bbdda789148f4c,run-20bbdda789148f4c,metric-20bbdda789148f4c,decision-20bbdda789148f4c,True,100.0
kdd_main_5trial,kdd_main_5trial-trial-003,3,failed_invalid,proposal-594cce219e9eaecb,patch-594cce219e9eaecb,run-594cce219e9eaecb,metric-594cce219e9eaecb,decision-594cce219e9eaecb,True,100.0
kdd_main_5trial,kdd_main_5trial-trial-004,4,failed_invalid,proposal-05eb4b0843c80873,patch-05eb4b0843c80873,run-05eb4b0843c80873,metric-05eb4b0843c80873,decision-05eb4b0843c80873,True,100.0
kdd_main_5trial,kdd_main_5trial-trial-005,5,kept,proposal-da821412b13a09a1,patch-da821412b13a09a1,run-da821412b13a09a1,metric-da821412b13a09a1,decision-da821412b13a09a1,True,100.0
lg_ablation_none,lg_ablation_none-trial-001,1,kept,proposal-3a50c0e9c773c43d,patch-3a50c0e9c773c43d,run-3a50c0e9c773c43d,metric-3a50c0e9c773c43d,decision-3a50c0e9c773c43d,True,100.0
lg_ablation_none,lg_ablation_none-trial-002,2,discarded,proposal-055006f5f78db994,patch-055006f5f78db994,run-055006f5f78db994,metric-055006f5f78db994,decision-055006f5f78db994,True,100.0
lg_ablation_none,lg_ablation_none-trial-003,3,discarded,proposal-72b0fc251001ba02,patch-72b0fc251001ba02,run-72b0fc251001ba02,metric-72b0fc251001ba02,decision-72b0fc251001ba02,True,100.0
lg_ablation_none,lg_ablation_none-trial-004,4,discarded,proposal-ef40f5a8d8d85f67,patch-ef40f5a8d8d85f67,run-ef40f5a8d8d85f67,metric-ef40f5a8d8d85f67,decision-ef40f5a8d8d85f67,True,100.0
lg_ablation_none,lg_ablation_none-trial-005,5,discarded,proposal-1c5412621e7e7386,patch-1c5412621e7e7386,run-1c5412621e7e7386,metric-1c5412621e7e7386,decision-1c5412621e7e7386,True,100.0
lg_ablation_append_only_summary,lg_ablation_append_only_summary-trial-001,1,kept,proposal-4fc3232fd6b63389,patch-4fc3232fd6b63389,run-4fc3232fd6b63389,metric-4fc3232fd6b63389,decision-4fc3232fd6b63389,True,100.0
lg_ablation_append_only_summary,lg_ablation_append_only_summary-trial-002,2,discarded,proposal-f1d4ca5670d34694,patch-f1d4ca5670d34694,run-f1d4ca5670d34694,metric-f1d4ca5670d34694,decision-f1d4ca5670d34694,True,100.0
lg_ablation_append_only_summary,lg_ablation_append_only_summary-trial-003,3,discarded,proposal-13075b2a6de3d4ee,patch-13075b2a6de3d4ee,run-13075b2a6de3d4ee,metric-13075b2a6de3d4ee,decision-13075b2a6de3d4ee,True,100.0
lg_ablation_append_only_summary,lg_ablation_append_only_summary-trial-004,4,discarded,proposal-a49ab53083aeb8b1,patch-a49ab53083aeb8b1,run-a49ab53083aeb8b1,metric-a49ab53083aeb8b1,decision-a49ab53083aeb8b1,True,100.0
lg_ablation_append_only_summary,lg_ablation_append_only_summary-trial-005,5,discarded,proposal-bc5f5eb1c4910a4d,patch-bc5f5eb1c4910a4d,run-bc5f5eb1c4910a4d,metric-bc5f5eb1c4910a4d,decision-bc5f5eb1c4910a4d,True,100.0
lg_ablation_append_only_summary_with_rationale,lg_ablation_append_only_summary_with_rationale-trial-001,1,kept,proposal-717c6323a35100aa,patch-717c6323a35100aa,run-717c6323a35100aa,metric-717c6323a35100aa,decision-717c6323a35100aa,True,100.0
lg_ablation_append_only_summary_with_rationale,lg_ablation_append_only_summary_with_rationale-trial-002,2,discarded,proposal-565eeeac879cc16a,patch-565eeeac879cc16a,run-565eeeac879cc16a,metric-565eeeac879cc16a,decision-565eeeac879cc16a,True,100.0
lg_ablation_append_only_summary_with_rationale,lg_ablation_append_only_summary_with_rationale-trial-003,3,discarded,proposal-b7fc5951787ff605,patch-b7fc5951787ff605,run-b7fc5951787ff605,metric-b7fc5951787ff605,decision-b7fc5951787ff605,True,100.0
lg_ablation_append_only_summary_with_rationale,lg_ablation_append_only_summary_with_rationale-trial-004,4,discarded,proposal-f578990d3d6cbcc9,patch-f578990d3d6cbcc9,run-f578990d3d6cbcc9,metric-f578990d3d6cbcc9,decision-f578990d3d6cbcc9,True,100.0
lg_ablation_append_only_summary_with_rationale,lg_ablation_append_only_summary_with_rationale-trial-005,5,discarded,proposal-29829ddcc88625cb,patch-29829ddcc88625cb,run-29829ddcc88625cb,metric-29829ddcc88625cb,decision-29829ddcc88625cb,True,100.0
kdd_stress_scope,kdd_stress_scope-trial-001,1,failed_invalid,proposal-f1dd570fe90ea0fe,patch-f1dd570fe90ea0fe,run-f1dd570fe90ea0fe,metric-f1dd570fe90ea0fe,decision-f1dd570fe90ea0fe,True,100.0
kdd_stress_noop,kdd_stress_noop-trial-001,1,failed_invalid,proposal-e1e34ddf7caef5e4,patch-e1e34ddf7caef5e4,run-e1e34ddf7caef5e4,metric-e1e34ddf7caef5e4,decision-e1e34ddf7caef5e4,True,100.0
